MATRI	NOM_PRENOM	CLUB	ELO_CALCUL
40894	KARPOV ANATOLI	209	2699
70092	GUREVICH MICHAIL	607	2683
94421	KHENKIN IGOR	607	2633
10081	MILES ANTHONY	401	2630
98906	VAGANIAN RAFAEL	607	2623
83739	CHERNIN ALEXANDER	239	2620
53724	PIKET JEROEN	114	2604
76856	BAKLAN VLADIMIR	201	2599
44067	VAN WELY LOEK	209	2596
98868	CHUCHELOV VLADIMIR	607	2575
97616	XIE YUN	604	2568
84719	MILOV VADIM	239	2565
53848	REINDERMAN DIMITRI	101	2551
98850	ROUSIS IGORS	402	2551
98035	GLEK IGOR	607	2551
99627	IKONNIKOV VIATCHESLAV	402	2546
98361	VARGA ZOLTAN	604	2543
47261	BARSOV ALEXEI	209	2534
97471	KALLAI GABOR	604	2531
47716	NIJBOER FRISO	303	2529
54402	KOGAN ARTHUR	402	2519
50288	SAFIN SHUHRAT	402	2518
50253	YULDASHEV SAIDALI	402	2515
70076	DEGRAEVE JEAN MARC	601	2507
98353	GOLUBEV MIHAIL	627	2507
53066	WELLS PETER	186	2506
67261	LOBJANIDZE DAVIT	910	2506
55107	WINANTS LUC	607	2505
96768	SCHEBLER GERHARD	604	2502
58441	RENET OLIVIER	239	2496
97900	RUCK ROBERT	627	2492
70068	CIFUENTES ROB	607	2490
98213	LAU RALF	607	2490
78794	BAUER CHRISTIAN	601	2486
99406	KISHNEV SERGEY	607	2485
27448	MOTWANI PAUL	143	2484
75515	AKESSON RALF	243	2484
99660	LAZAREV VLADIMIR	604	2478
98663	ROEDER MATHIAS	624	2473
70025	BACROT ETIENNE	506	2470
97276	VARGA PETER	627	2465
4791	DVORETSKY MARK	260	2460
13951	HOMMELUS THEO	303	2460
54879	BOSBOOM MANUEL	101	2455
93882	RELANGE ELOI	501	2454
97888	LANE GARY	209	2452
97870	DUNNINGTON ANGUS	506	2450
98281	KOVALEW ANDREJ	607	2450
96784	HAUSRATH DANIEL	604	2448
69604	KUYF RINI	101	2446
87181	PIRA DAVOUD	501	2441
98264	HENNING DIRK	604	2441
96679	BELKHODJA SLIM	641	2440
64203	POLACZEK RICHARD	201	2435
47562	KOHLWEYER BERND	402	2433
25861	BRONSTEIN DAVID	209	2432
99121	SCHNEIDER BERND	607	2432
77283	NIKOLIC NEBOJSA	239	2430
73059	CLAESEN PIETER	243	2429
97829	HORVATH ADAM	627	2427
75655	CEKRO EKREM	601	2426
99597	SIELICKI CHRISTOF	604	2424
4995	JANSSEN RUUD	401	2422
65129	BERGEZ LUC	501	2420
96172	FOISOR OVIDIU	601	2419
54071	VAN MIL JOHAN	101	2418
98779	SCHULZ KLAUS JURGEN	627	2418
85421	CUMMINGS DONALD	201	2416
60151	SPIRIDONOV NIKOLA	506	2414
77089	BAGHERI AMIR	239	2411
98060	SZABOLCSI JANOS	604	2411
67385	BOIDMAN YURI	627	2409
67148	FILIPEK JAKUB	303	2408
5584	LEMMERS OSCAR	401	2408
55115	JADOUL MICHEL	607	2408
86541	CHERNYAEV ALEXANDRE	621	2408
78832	ADRIAN CLAUDE	641	2407
46108	DUTREEUW MARC	101	2406
70564	ELIET NICOLAS	501	2406
98370	COENEN NORBERT	607	2406
30864	QUIST JOHAN	303	2405
67636	BADULESCU-FOISOR CRISTINA	601	2399
35921	CUIJPERS FRANS	101	2394
1741	ARPAD SOOS	362	2391
24929	WELLING GERARD	101	2387
3727	GROOTEN HERMAN	209	2387
400	CARLIER BRUNO	239	2385
41840	CARDON HELMUT	401	2384
44504	VAN DER STRICHT GEERT	401	2384
11304	VAN DE PLASSCHE BAS	101	2377
98167	BUHR CARL-CHRISTIAN	607	2377
9946	ABOLIANIN ARTHUR	401	2376
98485	HORVATH TAMAS	627	2373
48682	BERKVENS JOOST	101	2372
2216	TONDIVAR BABAK	209	2371
42510	MARTENS MARTIN	422	2371
98680	SONNTAG HANS-HUBERT	641	2369
25828	FUDERER ANDREYA	124	2364
85669	COLLAS DANIEL	501	2363
91537	POULTON JAMES	506	2360
14966	HOOGENDOORN JOOST	401	2358
99490	KERN GUIDO	604	2358
98736	KOCH THOMAS	607	2358
66729	JONKMAN HARMEN	209	2357
69329	SADKOWSKI DANIEL	132	2354
345	MEESSEN RUDOLF	607	2353
86495	GEENEN MARC	239	2352
66656	GOURET THIERRY	501	2352
4880	WEEMAES RONNY	124	2349
76872	MALAKHATKO VLADIMIR	201	2349
1163	DEN BOER BER	109	2347
5533	KOSTER LEON	401	2347
98922	DORENBERG GASTON	604	2347
28045	ROOZE JAN	124	2343
70581	VANDEVOORT PASCAL	601	2343
80403	COOLS GORIK	143	2342
43648	TIMMERMAN GERT JAN	301	2341
1864	GOORMACHTIGH JOHAN	401	2340
20621	VANDERWAEREN SERGE	228	2338
76996	PAVILAINEN YORMA	201	2336
47384	TJIAM DHARMA	401	2335
91308	HAUTOT STEPHANE	601	2335
96865	BINHAM TIMOTHY	226	2334
49069	DOCX STEFAN	109	2332
19348	GOMMERS RALF	401	2331
99929	KLIP HANS	604	2331
93921	VON BULOW GEORG	607	2331
96130	VYSSOTCHINE SPARTAK	201	2330
70653	LE QUANG KIM	244	2330
98388	BLIUMBERG VLADISLAV	607	2330
96300	DEDE ERNO	627	2330
69264	FONTAINE ROBERT	506	2329
83607	MOHANDESI SHAHIN	209	2328
29670	MANCINI MARIO	305	2328
93815	AHN MARTIN	607	2328
36552	MIDDELBURG TOM	101	2327
6629	KNOPPERT ERIK	130	2327
