jaar,kampioenschap,snelschaak,open tornooi,prijs inzet
1971,F Vandenbosch, D Dillens &amp; G&nbsp;Rosseel,-,-
1972,F Vandenbosch,geen winnaar,-,-
1973,F Vandenbosch,-,-,-
1974,D Dillens ,-,-,-
1975,F Janssens ,-,-,-
1976,F Vandenbosch,-,-,-
1977,G Rosseel,-,-,-
1978,P Lemmens,-,-,-
1979,F Mertens,-,-,-
1980,J Boers,J Boers,J Boers,-
1981,J Boers,F Mertens,S Vanderwaeren,P Debast
1982,S Vanderwaeren,S Vanderwaeren,E Pletinckx,S Vanderwaeren
1983,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren,P Debast
1984,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren,E Pletinckx
1985,J Boers &amp; G&nbsp;Rosseel,S Vanderwaeren,W Taelemans,P Debast
1986,J Boers,J Boers,E Pletinckx,P Lemmens &amp; J&nbsp;Boers &amp; P&nbsp;Debast
1987,S Vanderwaeren,P Debouvere,B Malfliet,S Vanderwaeren
1988,J Boers,P Debouvere,B Malfliet,S Vanderwaeren
1989,W Taelemans,B Malfliet,B Malfliet,M Maeckelbergh
1990,S Vanderwaeren,S Vanderwaeren,H Van Cauwelaert,B Malfliet
1991,P Debast,B Malfliet,S Vanderwaeren &amp; Vanderheyden,W Deklerck
1992,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren &amp; Brn&nbsp;Louckx,S Vanderwaeren
1993,B Malfliet,B Malfliet,W Taelemans,P De Bosscher
1994,B Malfliet,W Taelemans &amp; L&nbsp;Van&nbsp;Nerom,R Steenwerckx,P De Bosscher
1995,W Taelemans,L Van Nerom,L van Duuren,E Cornelis
1996,W Taelemans,P Debouvere,E Pletinckx,L van Duuren
1997,M Maeckelbergh,B Malfliet &amp; D&nbsp;Lot,G Maeckelbergh,P Lemmens
1998,B Malfliet,B Malfliet,M Maeckelbergh,W Deklerck
1999,G Maeckelbergh,S Vanderwaeren,S Vanderwaeren,P Debast
2000,W Taelemans &amp; E&nbsp;Cornelis &amp; P&nbsp;Debast,P De Bosscher,-,P De Bosscher
2001,S Vanderwaeren,S Vanderwaeren,-,S Vanderwaeren
2002,P De Bosscher,D Lot,P Ertveldt &amp; S&nbsp;Vanderwaeren,P Ertveldt &amp; E&nbsp;Cornelis
2003,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren
2004,S Vanderwaeren,E Cornelis,D Lot,S Vanderwaeren
2005,S Vanderwaeren,P De Bosscher,L van Duuren,S Vanderwaeren
2006,S Vanderwaeren,S Vanderwaeren,-,J Van Mechelen
2007,S Vanderwaeren,S Vanderwaeren,-,E Cornelis
2008,S Vanderwaeren,S Vanderwaeren,-,J Van Mechelen
2009,S Vanderwaeren,P De Bosscher,-,J Van Mechelen
2010,S Vanderwaeren,E Cornelis &amp; B&nbsp;Malfliet,-,S Vanderwaeren
2011,S Vanderwaeren,D Lot,D Lot,S Vanderwaeren
2012,S Vanderwaeren,D Lot,D Lot,P De Bosscher &amp; S&nbsp;Vanderwaeren
2013,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren,P De Bosscher &amp; S&nbsp;Vanderwaeren
2014,D Lot,D Lot,-,S Vanderwaeren
2015,D Lot,S Vanderwaeren,-,S Vanderwaeren
2016,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren,S Vanderwaeren
2017,D Lot,D Lot,D Lot &amp; S&nbsp;Vanderwaeren,S Vanderwaeren
2018,D Lot,D Lot,S Vanderwaeren,G Verrijken
2019,G Verrijken,D Lot,S Vanderwaeren,S Vanderwaeren
2020,geen winnaar,D Lot,T Van Hoofstat,G Boutchon
2021,geen winnaar,-,-,-
2022,S&nbsp;Vanderwaeren &amp; G&nbsp;Verrijken,S&nbsp;Vanderwaeren &amp; D&nbsp;Lot,-,G Verrijken
2023,D Lot,D Lot,-,D Lot
2024,S Vanderwaeren,S Vanderwaeren,-,T Van Hoofstat
