dag,tornooi
zaterdag 8 september 2018,jeugdschaakcriterium leuven
vrijdag 14 september 2018,algemene vergadering - 20u00 - start nieuwe seizoen
zaterdag 22 september 2018,5de memorial debast - belgisch kampioenschap snelschaak
vrijdag 28 september 2018,snelschaak 1ste ronde
zondag 30 september 2018,nationale interclubs ronde 1 (thuis)
vrijdag 5 oktober 2018,klubkampioenschap 1ste ronde
zondag 7 oktober 2018,nationale interclubs ronde 2 (uit)
vrijdag 12 oktober 2018,open rapid 1ste ronde
vrijdag 19 oktober 2018,klubkampioenschap 2de ronde
vrijdag 26 oktober 2018,snelschaak 2de ronde
zaterdag 27 oktober 2018,jeugdkampioenschap vlaams-brabant (leuven)
zondag 28 oktober 2018,nationale interclubs ronde 3 (thuis en uit)
donderdag 1 november 2018,tornooi leuven
vrijdag 2 november 2018,tornooi leuven
zaterdag 3 november 2018,tornooi leuven
zondag 4 november 2018,tornooi leuven
vrijdag 9 november 2018,open rapid 2de ronde
vrijdag 16 november 2018,klubkampioenschap 3de ronde
zondag 18 november 2018,nationale interclubs ronde 4 (thuis en uit)
vrijdag 30 november 2018,snelschaak 3de ronde
zondag 2 december 2018,nationale interclubs ronde 5 (uit)
vrijdag 7 december 2018,klubkampioenschap 4de ronde
vrijdag 14 december 2018,open rapid 3de ronde
vrijdag 21 december 2018,klubkampioenschap 5de ronde
vrijdag 11 januari 2019,open rapid 4de ronde
vrijdag 18 januari 2019,klubkampioenschap 6de ronde
vrijdag 25 januari 2019,snelschaak 4de ronde
vrijdag 1 februari 2019,klubkampioenschap 7de ronde
zondag 3 februari 2019,nationale interclubs ronde 6 (thuis)
vrijdag 8 februari 2019,open rapid 5de ronde
zondag 10 februari 2019,nationale interclubs ronde 7 (uit)
vrijdag 15 februari 2019,klubkampioenschap 8ste ronde
vrijdag 22 februari 2019,snelschaak 5de ronde
zondag 24 februari 2019,nationale interclubs ronde 8 (thuis)
vrijdag 8 maart 2019,open rapid 6de ronde
vrijdag 15 maart 2019,klubkampioenschap 9de ronde
zondag 17 maart 2019,nationale interclubs ronde 9 (uit)
vrijdag 29 maart 2019,snelschaak 6de ronde
zondag 31 maart 2019,nationale interclubs ronde 10 (thuis)
vrijdag 5 april 2019,klubkampioenschap 10de ronde
vrijdag 12 april 2019,open rapid 7de ronde
vrijdag 19 april 2019,klubkampioenschap 11de ronde
vrijdag 26 april 2019,snelschaak 7de ronde
zondag 28 april 2019,nationale interclubs ronde 11 (uit)
vrijdag 3 mei 2019,klubkampioenschap 12de ronde
vrijdag 10 mei 2019,open rapid 8ste ronde
zaterdag 18 mei 2019,24ste tornooi DZD Halle
vrijdag 31 mei 2019,snelschaak 8ste ronde
vrijdag 7 juni 2019,klubkampioenschap 13de ronde
vrijdag 14 juni 2019,open rapid 9de ronde
vrijdag 28 juni 2019,snelschaak 9de ronde
zaterdag 21 september 2019, 6de memorial debast - bk blitz

