nummer,naam,elo,fide,titel,club,ptn,p,res,vsch,buch
1,Dgebuadze Alexandre,2515,2499,gm,Wirtzfeld,11.0,13,,,
2,Vanderwaeren Serge,2214,2203,fm,Dworp,10.5,13,0.5,77.0,
3,Cekro Ekrem,2413,2408,im,Fontaine-L'Evêque,10.5,13,0.5,72.0,
4,Depauw Christian,2099,2077,**,Wavre,9.0,13,1.0,,
5,Lot Diederik,1911,1937,**,Dworp,9.0,13,0.0,,
6,Spaens Kjell,1937,1926,**,Aalst,8.5,13,---,63.0,
7,Bensaad Ahmed,2080,2080,**,Anderlecht,8.5,13,---,59.0,
8,Harutyunyan Axel,1977,1928,**,Machelen,8.0,12,---,55.0,103.0
9,Rihouay Clement,2263,2263,**,Anderlecht,8.0,13,---,55.0,97.5
10,Roels Frederik,1926,1894,**,KGSRL Gent,7.5,13,---,62.0,
11,Saligo Luc,2105,2086,**,Zottegem,7.5,13,---,59.5,108.5
12,Verrijken Geert,1938,1885,**,Dworp,7.5,13,---,59.5,87.0
13,Beukenhorst Edo,1978,1970,**,Geraardsbergen,7.5,13,---,57.5,
14,Terryn Ezra,1895,1924,**,Borgerhout,7.5,12,---,56.5,
15,Satti Abdelkader,1471,0,,Fous du Roy,7.5,13,---,50.0,
16,Debeuckelaere Alexander,1678,0,,Dworp,7.5,13,---,48.5,
17,De Bosscher Peter,1812,1821,**,Dworp,7.5,13,---,46.5,
18,Geuens Dirk,1810,0,,Mechelen,7.0,13,---,53.0,
19,Duringer Valentin,2009,1897,**,Brussels Chess Club,7.0,13,---,52.0,
20,Denys Frank,1917,1859,**,Dworp,7.0,13,---,51.0,93.5
21,Van Wijnendaele Jovanni,1666,1621,**,Aalst,7.0,13,---,51.0,89.0
22,Gulieva Karina,1208,1279,**,Geraardsbergen,7.0,13,---,44.0,
23,Van de Velde Filip,1689,1816,**,Dworp,6.5,13,---,52.0,
24,Vardanyan Hacob,1617,0,,Geraardsbergen,6.5,13,---,45.5,
25,Micciche Ruben,1305,1459,**,2 Fous Diogène,6.5,13,---,45.0,87.0
26,Ertveldt Pieter,1767,0,,Dworp,6.5,13,---,45.0,74.0
27,Pletinckx Eddy,1819,0,,Dworp,6.5,13,---,43.5,
28,Flamee Dirk,1656,1760,**,Geraardsbergen,6.5,13,---,40.5,
29,Sohet Cedric,1721,1762,**,Anderlecht,6.5,13,---,39.5,
30,Cornelis Eric,1676,1743,**,Dworp,6.0,13,---,49.0,
31,Maeckelbergh Geert,1844,1882,**,Halle,6.0,13,---,48.0,
32,Partoens Remi,1625,1747,**,Dolle Toren Leuven,6.0,13,---,46.0,
33,Maeckelbergh Mieke,1825,1869,**,Halle,6.0,13,---,41.0,
34,Huysman Robert,1487,1458,**,Halle,6.0,13,---,39.0,
35,Laureys Mats,0,0,,Dworp,6.0,13,---,32.0,
36,Vennekens Camiel,1855,1862,**,Hoboken,5.5,13,---,47.5,
37,Deschuyteneer Lucien,1473,1462,**,Geraardsbergen,5.5,13,---,43.5,
38,Satti Majid,0,0,,,5.5,13,---,40.5,
39,Van De Water Marc,1600,1612,**,CREB Bruxelles,5.5,13,---,39.5,
40,Beukenhorst Gabriel,0,0,,Geraardsbergen,5.5,13,---,31.5,
41,Huyge Felix,0,0,,Dworp,5.5,13,---,30.5,66.0
42,Van Der Voorde Sonja,1427,1350,**,Halle,5.5,13,---,30.5,62.5
43,Van Haesendonck Robbe,0,0,,Halle,5.0,13,---,32.0,
44,Lerinckx Sander,0,0,,Dworp,5.0,13,---,30.0,
45,Themis Douffet,0,0,,Halle,5.0,13,---,24.0,
46,Beckers Stijn,0,0,,Dworp,4.5,13,,,
47,Lerinckx Niels,0,0,,Dworp,4.0,13,,,
48,Lefebvre Willy,1487,1533,**,Geraardsbergen,3.0,7,1.0,,
49,Van Der Eecken Jana,0,0,,Halle,3.0,13,0.0,,
50,Satti Adan,0,0,,,2.5,13,,,
51,Rab Rashed,1174,0,,Halle,2.0,13,,,
