nummer,naam,rating,titel,f/m,club,nat,ptn,perf,res,kash,buch
1,Hautot Stéphane,2342,IM,M,Wirtzfeld,BEL,11.0,2532,,,
2,Beukema Stefan,2263,IM,M,Brasschaat,BEL,10.0,2371,2.0,,
3,Geirnaert Steven,2360,IM,M,KBSK Brugge,BEL,10.0,2458,0.5,29,
4,Dgebuadze Alexandre,2470,GM,M,Wirtzfeld,BEL,10.0,2451,0.5,28,
5,De Strycker Nathan,2120,,M,TSMechelen,BEL,9.5,2274,,,
6,Cekro Ekrem,2393,IM,M,Fontaine-L'Evêque,BEL,9.0,2307,,27,
7,Clevers Egbert,2254,,M,,NED,9.0,2316,,26,109.5
,Docx Stefan,2305,IM,M,Borgerhout,BEL,9.0,2271,,26,109.5
9,Hamblok Roel,2270,FM,M,Overpelt,BEL,9.0,2219,,26,104.5
10,Dauw Sterre,1984,,M,Mechelen,BEL,9.0,2257,,26,103.5
11,Verbist Julien,2049,,M,Woluwé,BEL,9.0,2086,,26,96.0
12,Dardha Daniel,2321,FM,M,Hoboken,BEL,9.0,2321,,25,
13,Soubirou Oriane,2068,,F,Boitsfort,FRA,8.5,2209,,25,105.0
14,Cools Gorik,2276,FM,M,Hoboken,BEL,8.5,2134,,25,97.5
,Decrop Benjamin,2199,,M,KOSK Oostende,BEL,8.5,2103,,25,97.5
16,Roos Adrian,2285,FM,M,Zottegem,BEL,8.5,2321,,24,115.5
17,Lenaerts Lennert,2314,FM,M,Genk,BEL,8.5,2240,,24,110.0
18,Frederic Clément,2164,,M,,FRA,8.5,2155,,24,100.5
19,Vanderwaeren Serge,2091,FM,M,Dworp,BEL,8.5,2157,,24,99.0
20,Baselmans Luuk,1943,,M,Brasschaat,NED,8.5,1961,,24,87.5
21,Van Cappellen Jonas,2191,,M,Opwijk,BEL,8.0,2164,,24,104.5
22,Roos David,2076,,M,Zottegem,BEL,8.0,2177,,24,100.0
23,Defromont Benjamin,2083,,M,KOSK Oostende,FRA,8.0,2042,,24,98.5
24,Van De Wynkele Herman,2030,,M,MSV,BEL,8.0,2029,,24,93.0
25,Spanoghe Ivan,2013,,M,CREB Bruxelles,BEL,8.0,2049,,24,91.0
26,Ouaki Mark,1719,,M,Europchess,BEL,8.0,1975,,24,88.5
27,Ronse Ivan,2025,,M,Brussels Chess Club,BEL,8.0,1961,,24,87.5
28,Huynh Laurent,2075,,M,CREB Bruxelles,BEL,8.0,2091,,23,100.5
29,Ismail Tamer,2038,,M,Deurne,BEL,8.0,2082,,23,96.5
30,Lot Diederik,1988,,M,Dworp,BEL,8.0,2096,,23,94.5
31,Depauw Christian,2065,,M,Wavre,BEL,8.0,2008,,23,93.5
