nummer,naam,rating,ptn,perf,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
1,Cekro Ekrem,2371,12.0,2654,109w+,37z+,14w+,69z+,5w+,2w-,27z+,4z+,6w+,7z+,28w+,24z+,8w+
2,Munoz Miguel,2611,11.0,2619,34w+,74z+,40w+,39z+,4w+,1z+,6w+,68z+,7w-,5z+,24w+,10z+,3w-
3,Dgebuadze Alexandre,2466,10.0,2465,80w+,45z+,10w+,8z+,7w=,6z-,36w+,28z=,68w+,4z+,5w-,17z+,2z+
4,Hautot Stephane,2352,10.0,2412,43z+,42w+,9z+,18w+,2z-,29w+,8z+,1w-,25z+,3w-,22z+,35w+,5z+
5,Sukander Irene,2271,9.5,2390,114z+,12w+,76z+,52w+,1z-,73w+,14z=,39w+,27z+,2w-,3z+,7z+,4w-
6,Dardha Daniel,2472,9.5,2414,94z+,46w+,48z+,19w+,27z=,3w+,2z-,14w+,1z-,32w+,35z-,16w+,20z+
7,Lenaerts Lennert,2298,9.5,2364,85z+,129w+,78z+,29w+,3z=,27w-,18z+,12w+,2z+,1w-,14z+,5w-,15z+
8,De Strycker Nathan,2172,9.0,2215,92z+,26w+,100z+,3w-,46z+,70w+,4w-,73z-,93w+,69z+,9w+,28z+,1z-
9,Dauw Sterre,2076,9.0,2242,81w+,79z+,4w-,102z+,57w+,24z-,83w+,17z+,28w-,11w+,8z-,27w+,35z+
10,Van Kessel Wessel,2097,9.0,2160,110z+,51w+,3z-,64w+,12z-,115w+,25z-,58w+,92z+,52w+,68z+,2w-,24w+
11,Hamblok Roel,2224,9.0,2133,139w+,59z+,69w-,60z+,20w+,14z-,73w-,111z+,21w+,9z-,57w+,31z+,23w+
12,Baselmans Luuk,1969,9.0,2201,131w+,5z-,125w+,81z+,10w+,15w+,39z=,7z-,22w-,33w+,18z+,36z=,28w+
13,Roofthoofd Marcel,2062,9.0,2178,84z+,58w+,68z=,35w-,54z+,28z-,23w+,110w+,15z+,14w-,27z=,30w+,36z+
14,De Villers Mourad,2086,8.5,2181,142z+,95w+,1z-,117w+,26z+,11w+,5w=,6z-,77w+,13z+,7w-,20z-,43w+
15,Decrop Benjamin,2173,8.5,2115,111w+,50z+,77w-,23z+,16w+,12z-,38w+,69z=,13w-,75z+,31w+,41z+,7w-
16,Draidi Ahmed,1974,8.5,2157,66z+,27w-,49z+,124w+,15z-,99w+,33z+,29w+,39z+,24z-,17w=,6z-,40w+
17,Fayard Alain,2223,8.5,2126,99z+,87w+,52z-,95w+,73z-,51w+,74z+,9w-,53z+,25w+,16z=,3w-,46z+
18,Hoffmann Max,2133,8.5,2085,127w+,91z+,56w+,4z-,93w+,38z=,7w-,77z-,82w+,83z+,12w-,71w+,52z+
19,Lacroix Bruno,2143,8.5,2043,135w+,60z+,23w+,6z-,77w-,53z-,80w+,61z+,59w-,110z+,82w+,37z=,55w+
20,Huynh Laurent,2194,8.5,2142,116z+,44w+,75z=,30w+,11z-,52w+,53z=,25w-,74z=,26w+,32z+,14w+,6w-
21,Roos David,2029,8.5,2035,107z=,100w-,143z+,89w+,32z+,35w-,75z+,30w=,11z-,115w+,70z+,68w+,22w=
22,Soubirou Oriane,2119,8.5,2162,126z+,32w=,54z+,68w=,42z=,75w+,35z+,27w-,12z+,31z=,4w-,25w+,21z=
23,Verheyen Olivier,1887,8.5,2122,,33w+,19z-,15w-,49z=,107w+,13z-,45w+,78z+,74w+,29z+,39w+,11z-
24,Alienkin Aleksander,2407,8.0,2221,89z+,25w+,29z-,61w+,75z+,9w+,68z-,53w+,73z+,16w+,2z-,1w-,10z-
25,Versyck Dominique,1998,8.0,2066,103w+,24z-,47w+,65z+,40w-,109z+,10w+,20z+,4w-,17z-,60w+,22z-,72w+
26,Miulescu Gabriel,1905,8.0,1930,132w+,8z-,127w+,97z+,14w-,56z+,41w-,81z+,40w+,20z-,30w-,63z+,70w+
27,Decoster Frederic,2294,8.0,2225,98w+,16z+,41w+,77z+,6w=,7z+,1w-,22z+,5w-,28z-,13w=,9z-,61w+
28,Cools Gorik,2228,8.0,2166,49z+,75w-,107z+,71w+,52z=,13w+,31z+,3w=,9z+,27w+,1z-,8w-,12z-
29,Depauw Christian,2090,8.0,2051,72w+,57z+,24w+,7z-,56w+,4z-,59w+,16z-,60w+,34z=,23w-,83w+,32z=
30,Barbier Wim,2084,8.0,2040,108w+,55z=,53w+,20z-,37w-,84w+,42z+,21z=,57w+,35w-,26z+,13z-,62w+
31,Baselmans Sam,2076,8.0,2105,96z+,64w+,39z-,94w+,35z=,42w+,28w-,38z+,44z+,22w=,15z-,11w-,57z+
32,Kegels Kristof,1858,8.0,2051,121w+,22z=,36w-,88z+,21w-,108z+,112w+,78z+,41w+,6z-,20w-,77z+,29w=
33,Van Hoofstat Tom,2119,8.0,1957,123w+,23z-,34w+,57z-,79w+,95z+,16w-,62z+,83w=,12z-,63w+,44z+,37w=
34,De Reese Elias,1776,8.0,1958,2z-,122w+,33z-,90w+,101z+,74w-,56z+,87w+,76z+,29w=,41w-,38z=,59w+
35,Roos Adrian,2302,8.0,2170,47w+,53z=,55w=,13z+,31w=,21z+,22w-,57z+,69w=,30z+,6w+,4z-,9w-
36,Van Vliet Dennis,2135,8.0,2054,65z+,54w=,32z+,75w-,113z+,37w+,3z-,71w+,52z=,73w=,44z+,12w=,13w-
37,Spaens Kjell,1990,8.0,1971,90z+,1w-,85z+,113w=,30z+,36z-,111w-,49w+,71z=,58w+,56z+,19w=,33z=
38,Moerman Thomas,1943,8.0,1896,88z=,70w=,116z+,100w+,48z+,18w=,15z-,31w-,43z-,89w+,47z+,34w=,56z+
39,Grochal Joey,2268,7.5,2163,86w+,93z+,31w+,2w-,76z+,40z+,12w=,5z-,16w-,42w+,73z+,23z-,41w-f
40,Clark-Foulquier Stephen,2123,7.5,2021,113z+,71w+,2z-,115w+,25z+,39w-,44z-,51w+,26z-,95w+,92z+,52w=,16z-
41,Van Dijck Bjarne,2083,7.5,1963,124z+,115w+,27z-,58w+,70z-,94w+,26z+,44w=,32z-,43w+,34z+,15w-,39z-f
42,Harutyunyan Axel,1990,7.5,1956,128w+,4z-,98w+,110z+,22w=,31z-,30w-,47z+,79w+,39z-,81w+,43z-,82w+
43,Van de Velde Filip,1753,7.5,1995,4w-,128z+,45w+,76w-,74z-,153z+,50w=,112z+,38w+,41z-,75w+,42w+,14z-
44,Minet Julien,1929,7.5,1946,133w+,20z-,135w+,56z-,98w+,81z+,40w+,41z=,31w-,77z+,36w-,33w-,84z+
