nummer,titel,naam,rating,v/m,club,nat,ptn,perf,b cut1,buch,sb,prog,den
1,IM,Alienkin Aleksander,2302,M,Ans-Loncin,BEL,10.5,2362,102.00,106.00,85.00,71.5,
2,FM,Lenaerts Lennert,2325,M,Genk,BEL,10.0,2331,105.00,111.00,82.25,72.0,0.5
3,IM,Sochacki Wojtek,2284,M,Boitsfort,FRA,10.0,2291,104.50,111.00,82.25,74.0,1.5
4,GM,Dgebuadze Alexandre,2460,M,Wirtzfeld,BEL,10.0,2361,103.00,109.00,81.50,69.5,1.0
5,,Van Vliet Dennis,2003,M,Wachtebeke,BEL,9.5,2171,95.50,102.00,70.50,64.0,
6,IM,Geirnaert Steven,2394,M,KBSK Brugge,BEL,9.5,2262,95.00,100.00,69.50,65.0,
7,FM,Akhayan Ruben,2166,M,Zaventem,BEL,9.0,2124,94.00,99.00,63.50,66.0,
8,,Penson Thierry,2180,M,Deurne,BEL,9.0,2071,92.00,97.00,62.50,63.0,
9,,Ramacker Quinten,2046,M,Wetteren,BEL,8.5,2153,101.00,107.00,65.00,64.0,
10,,Ismail Tamer,2100,M,Borgerhout,BEL,8.5,2094,99.00,104.50,64.00,69.0,
11,FM,Maerevoet Sim,2243,M,Hoboken,BEL,8.5,2147,98.50,105.00,62.75,69.5,
12,,Victor Julian,2007,M,KGSRL Gent,BEL,8.5,2141,98.50,104.00,63.25,65.5,
13,,Dreelinck Jacob,1632,M,Geraardsbergen,BEL,8.5,2098,96.50,102.00,62.25,62.0,
14,FM,Roos Adrian,2235,M,Zottegem,BEL,8.5,2081,96.00,103.00,66.25,64.0,
15,FM,Cools Gorik,2218,M,Boitsfort,BEL,8.5,1992,88.00,94.00,59.00,58.0,
16,FM,Defromont Benjamin,2134,M,KOSK Oostende,FRA,8.0,2120,102.00,108.50,62.25,66.0,
17,,Dreelinck Adriaan,1754,M,Geraardsbergen,BEL,8.0,2104,95.50,98.50,52.75,61.0,
18,,Ouaki Mark,1964,M,Europchess,BEL,8.0,1990,90.50,95.50,51.00,55.0,
19,,Allaert Dimitri,2168,M,Mechelen,BEL,8.0,1932,88.50,94.00,56.00,53.5,
20,,Roos David,2065,M,Zottegem,BEL,8.0,1975,87.00,92.00,56.00,56.5,
21,,Rivet Cyrille,1855,M,,FRA,8.0,2069,87.00,90.50,50.50,55.0,
22,IM,Miulescu Gabriel,1919,M,Wavre,BEL,8.0,2067,86.00,89.50,52.00,54.5,
23,,Geboers Jimmy,1976,M,Lommel,BEL,8.0,1903,80.50,85.50,48.50,51.0,
24,,Lot Diederik,1965,M,Dworp,BEL,7.5,2199,102.00,106.50,56.50,64.0,
25,,Arcelin Gael,1854,M,,FRA,7.5,2095,95.00,99.50,52.25,59.5,
26,,Depauw Christian,2081,M,Wavre,BEL,7.5,1985,88.50,94.00,51.75,57.0,
27,WFM,Vanduyfhuys Daria,1784,V,KGSRL Gent,BEL,7.5,2100,88.50,93.00,47.50,58.5,
28,,Macai Ioan,1891,M,Boitsfort,BEL,7.5,2078,88.50,93.00,46.25,56.0,
29,,Aguilar Adriano,1798,M,2 Fous Diogène,BEL,7.5,2040,86.00,91.00,48.25,51.0,
30,,Bontemps Cedric,1474,M,2 Fous Diogène,BEL,7.5,1916,84.50,89.50,46.50,51.0,
31,CM,Maddens Martijn,2079,M,Roeselare,BEL,7.5,1856,82.00,88.00,48.25,50.0,
32,,Versyck Dominique,2026,M,Opwijk,BEL,7.5,1865,82.00,86.50,46.75,48.0,
33,,Moreels Yves,2023,M,Lasne-Waterloo,BEL,7.0,1997,94.00,100.00,50.00,58.0,
34,WFM,Soubirou Oriane,2020,V,Boitsfort,FRA,7.0,1941,93.00,98.50,48.50,55.5,
35,,Maerevoet Tim,1792,M,Kapelle-op-den-Bos,BEL,7.0,1962,90.00,93.50,44.00,53.5,
36,,Aglave Arnaud,1997,M,Dolle Toren Leuven,BEL,7.0,1866,86.00,91.00,44.00,53.0,
37,,Roels Frederik,1891,M,KGSRL Gent,BEL,7.0,1968,84.50,89.00,40.00,51.0,
