r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,301 KOSK Oostende 5,XX,2,2,3.5,3,3,4,3.5,3,3.5,3.5,,31,18
2,244 Brussels 5,2,XX,2.5,3,1.5,2,2.5,2,2.5,4,3.5,,25.5,15
3,240 Machelen,2,1.5,XX,0,3,3,2,2.5,4,3,3.5,,24.5,14
4,228 Dworp 2,0.5,1,4,XX,2.5,3,2,3,2,3,1.5,,22.5,12
5,260 Humbeek 6,1,2.5,1,1.5,XX,2.5,2,1.5,3.5,2,3,,20.5,10
6,462 Zottegem 4,1,2,1,1,1.5,XX,2.5,2.5,2.5,1.5,4,,19.5,9
7,109 Borgerhout 8,0,1.5,2,2,2,1.5,XX,2,1.5,3,2.5,,18,8
8,130 Hoboken 7,0.5,2,1.5,1,2.5,1.5,2,XX,2,3,1.5,,17.5,7
9,166 TSM Mechelen 4,1,1.5,0,2,0.5,1.5,2.5,2,XX,2.5,1.5,,15,6
10,410 Sint-Niklaas 3,0.5,0,1,1,2,2.5,1,1,1.5,XX,3.5,,14,5
11,401 KGSRL Gent 16,0.5,0.5,0.5,2.5,1,0,1.5,2.5,2.5,0.5,XX,,12,6
12,(bye),,,,,,,,,,,,XX,0,0
