r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,952 Wavre 3,XX,11,11,12,12,12,10,11,11,11,11,112,10
2,951 Lasne-Waterloo 2,5,XX,9,7,10,12,10,11,12,12,12,100,8
3,228 Dworp 2,5,7,XX,10,12,12,11,10,10,12,8,97,7.5
4,230 Leuven Centraal 5,4,9,6,XX,11,5,6,10,8,10,7,76,4.5
5,601 CRE Liège EL 9,4,6,4,4,XX,8,10,10,9,10,10,75,5.5
6,607 Rochade Eupen 9,4,4,4,10,8,XX,9,7,11,8,9,74,5
7,239 Boitsfort 3,6,6,5,9,4,6,XX,12,7,7,12,74,3
8,901 Namur 8,5,5,6,6,6,9,4,XX,10,10,8,69,4
9,249 Ruisbroek 2,5,4,6,8,7,5,9,6,XX,10,8,68,3
10,911 Gembloux 2,5,4,4,4,6,8,8,6,6,XX,10,61,2.5
11,201 CRE Bruxelles 4,5,4,8,9,6,7,2,7,8,3,XX,59,2
