r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,548 caissa europe 2,xx,8,10,6,9,9,10,12,10,9,10,9,102,19
2,518 soignies 1,8,xx,9,9,5,10,12,10,10,9,8,10,100,18
3,228 dworp 1,6,7,xx,8,10,9,8,10,8,11,10,11,98,15
4,810 marche 1,10,7,8,xx,8,6,10,7,10,10,12,11,99,14
5,952 wavre 2,7,11,6,8,xx,8,12,8,9,9,8,9,95,14
6,909 philippeville 1,7,6,7,10,8,xx,8,6,8,9,8,10,87,10
7,538 fleurus 2,6,4,8,6,4,8,xx,6,9,9,10,12,82,10
8,521 tournai 1,4,6,6,9,8,10,10,xx,11,7,5,7,83,9
9,601 crele liège 4,6,6,8,6,7,8,7,5,xx,8,9,12,82,7
10,618 amay 3,7,7,5,6,7,7,7,9,8,xx,9,8,80,6
11,514 fontaine 4,6,8,6,3,8,8,6,11,7,7,xx,6,76,5
12,953 nivelles 1,7,6,5,5,7,6,4,9,4,8,10,xx,71,5
