r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,drie torens 1,XX,1½,3½,4,4,4,4½,4,3½,5½,4,6,44½,20
2,lsv-chesspirant 1,4½,XX,3,3½,3,4,3,4½,4,3½,5½,4½,43,19
3,wetteren 1,2½,3,XX,4,4,4,3½,1½,4,3,5,4,38½,16
4,wavre 1,2,2½,2,XX,5,5½,2½,4½,3½,4½,5½,5,42½,14
5,temse 3,2,3,2,1,XX,2½,3½,5½,4,4,3½,3½,34½,13
6,europchess 2,2,2,2,0½,3½,XX,1,3½,3½,2½,5,4,29½,10
7,kgsrl 4,1½,3,2½,3½,2½,5,XX,2½,3,4½,2,3,33,9
8,leuven 2,2,1½,4½,1½,0½,2½,3½,XX,2½,3½,5,2,29,8
9,st.-amandsbrg 1,2½,2,2,2½,2,2½,3,3½,XX,2½,4½,3½,30½,7
10,dworp 1,0½,2½,3,1½,2,3½,1½,2½,3½,XX,2,4,26½,7
11,caissa europe 1,2,0½,1,0½,2½,1,4,1,1½,4,XX,3½,21½,6
12,lasne-waterloo 1,0,1½,2,1,2½,2,3,4,2½,2,2½,XX,23,3
