r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,952 wavre 1,xx,,,,,,,6,,4,,5,15,6,3
2,261 opwijk 1,,xx,,4.5,,,,,4.5,,5,,14,6,3
3,401 kgsrl 4,,,xx,,,3.5,,,3,,4,,10.5,5,3
4,432 wetteren 2,,1.5,,xx,,,,,,4,4,,9.5,4,3
,226 europchess 2,,,,,xx,,4,0.5,,,,5,9.5,4,3
6,278 pantin 1,,,2.5,,,xx,3,,,,,5,10.5,3,3
7,541 leuze 1,,,,,2,3,xx,,3.5,,,,8.5,3,3
,143 temse 2,,,,,5.5,,,xx,,3,,,8.5,3,3
9,228 dworp 1,,1.5,3,,,,2.5,,xx,,,,7,1,3
,174 brasschaat 2,2,,,2,,,,3,,xx,,,7,1,3
11,244 brussels 1,,1,2,2,,,,,,,xx,,5,,3
12,518 soignies 1,1,,,,1,1,,,,,,xx,3,,3
