r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,952 wavre 1,xx,,,4.5,,3.5,,6,4,5,4,5,32,14,7
2,261 opwijk 1,,xx,4,,4.5,,4.5,,4.5,4.5,4.5,5,31.5,14,7
3,401 kgsrl 4,,2,xx,3.5,0,,4.5,,3,,4,4,21,9,7
4,278 pantin 1,1.5,,2.5,xx,3,3,,4,,5,6,,25,8,7
5,541 leuze 1,,1.5,6,3,xx,2,3,,3.5,,,3.5,22.5,8,7
6,226 europchess 2,2.5,,,3,4,xx,,0.5,3.5,5,2.5,,21,7,7
7,432 wetteren 2,,1.5,1.5,,3,,xx,3.5,,2,4,4,19.5,7,7
8,143 temse 2,0,,,2,,5.5,2.5,xx,2,,3,4.5,19.5,5,7
9,228 dworp 1,2,1.5,3,,2.5,2.5,,4,xx,3.5,,,19,5,7
10,518 soignies 1,1,1.5,,1,,1,4,,2.5,xx,,3,14,3,7
,174 brasschaat 2,2,1.5,2,0,,3.5,2,3,,,xx,,14,3,7
12,244 brussels 1,1,1,2,,2.5,,2,1.5,,3,,xx,13,1,7
