r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,952 wavre 1,xx,,,4.5,,3.5,4.5,6,4,4,5,5,36.5,16,8
2,261 opwijk 1,,xx,4,,4.5,,4.5,3.5,4.5,4.5,4.5,5,35,16,8
3,401 kgsrl 4,,2,xx,3.5,0,,4.5,,3,4,5.5,4,26.5,11,8
4,278 pantin 1,1.5,,2.5,xx,3,3,,4,4.5,6,5,,29.5,10,8
5,541 leuze 1,,1.5,6,3,xx,2,3,,3.5,4,,3.5,26.5,10,8
6,226 europchess 2,2.5,,,3,4,xx,,0.5,3.5,2.5,5,4,25,9,8
7,432 wetteren 2,1.5,1.5,1.5,,3,,xx,3.5,,4,2,4,21,7,8
8,143 temse 2,0,2.5,,2,,5.5,2.5,xx,2,3,,4.5,22,5,8
9,228 dworp 1,2,1.5,3,1.5,2.5,2.5,,4,xx,,3.5,,20.5,5,8
10,174 brasschaat 2,2,1.5,2,0,2,3.5,2,3,,xx,,,16,3,8
11,518 soignies 1,1,1.5,0.5,1,,1,4,,2.5,,xx,3,14.5,3,8
12,244 brussels 1,1,1,2,,2.5,2,2,1.5,,,3,xx,15,1,8
