r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp,#
1,228 Dworp 2,Xx,1.5,1.5,3,3,3,2.5,4,3.5,4,4,30,16,10
2,201 CRE Bruxelles 3,2.5,Xx,2.5,1.5,2.5,4,1,3.5,2.5,3.5,4,27.5,16,10
3,226 Europchess 4,2.5,1.5,Xx,3,3,3.5,2.5,4,3,2,1,26,15,10
4,953 Nivelles 1,1,2.5,1,Xx,1,3,2.5,3,1,3,4,22,12,10
5,229 Woluwe 2,1,1.5,1,3,Xx,2,2.5,3.5,1.5,4,4,24,11,10
6,278 Pantin 4,1,0,0.5,1,2,Xx,4,2,4,2,3.5,20,10,10
7,952 Wavre 3,1.5,3,1.5,1.5,1.5,0,Xx,1,3,4,2.5,19.5,8,10
8,951 Lasne-Waterloo 2,0,0.5,0,1,0.5,2,3,Xx,3,2.5,2,14.5,8,10
9,209 The Belgian CC Anderlecht 4,0.5,1.5,1,3,2.5,0,1,1,Xx,2,4,16.5,7,10
10,233 DZD Halle 1,0,0.5,2,1,0,2,0,1.5,2,Xx,3.5,12.5,5,10
11,961 Braine l'Alleud 2,0,0,3,0,0,0.5,1.5,2,0,0.5,Xx,7.5,3,10
