r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,239 Boitsfort 2,XX,1,4,4,2.5,3.5,2.5,2.5,4,3.5,3.5,3.5,34.5,20,11
2,525 Anderlues 1,3,XX,3,2.5,3,0.5,2,1,2.5,3.5,2,3,26.0,16,11
3,961 Braine l'Alleud 1,0,1,XX,3,1,2,4,3,3,4,2.5,3.5,27.0,15,11
4,909 Philippeville 1,0,1.5,1,XX,2,2.5,3,2.5,3,3,3,4,25.5,15,11
5,607 Rochade Eupen 3,1.5,1,3,2,XX,3,0,3.5,3.5,2,2.5,2.5,24.5,14,11
6,541 Leuze 1,0.5,3.5,2,1.5,1,XX,4,1,2,2.5,2.5,4,24.5,12,11
7,952 Wavre 2,1.5,2,0,1,4,0,XX,4,2,2,1.5,3,21.0,9,11
8,901 Namur 3,1.5,3,1,1.5,0.5,3,0,XX,0,2,2.5,3,18.0,9,11
9,548 Caïssa Europe Mons 2,0,1.5,1,1,0.5,2,2,4,XX,2,2.5,2,18.5,8,11
10,501 CRE Charleroi 3,0.5,0.5,0,1,2,1.5,2,2,2,XX,2,3,16.5,7,11
11,228 Dworp 2,0.5,2,1.5,1,1.5,1.5,2.5,1.5,1.5,2,XX,3,18.5,6,11
12,511 EDC Chapelle-lez-Herlaimont 1,0.5,1,0.5,0,1.5,0,1,1,2,1,1,XX,9.5,1,11
