r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,278 pantin 6,xx,2.5,4,1,3,2.5,3.5,3,4,3,4,4,34.5,20,11
2,226 europchess 4,1.5,xx,3,2,2,3.5,2.5,3,2,2,3.5,3,28.0,16,11
3,244 brussels 6,0,1,xx,4,1,3,2.5,4,2.5,3,3,3,27.0,16,11
4,201 creb 3,3,2,0,xx,3,2,0,2,3.5,3.5,2,2.5,23.5,14,11
5,207 2 fous diogène 2,1,2,3,1,xx,2,2,2.5,1.5,2.5,3.5,3.5,24.5,13,11
6,952 wavre 4,1.5,0.5,1,2,2,xx,2,2,3.5,3.5,3,2.5,23.5,12,11
7,114 mechelen 9,0.5,1.5,1.5,4,2,2,xx,3.5,3,1.5,2,3,24.5,11,11
8,961 braine l'alleud 3,1,1,0,2,1.5,2,0.5,xx,0,3,2.5,3,16.5,8,11
9,229 woluwe 2,0,2,1.5,0.5,2.5,0.5,1,4,xx,3,0.5,1.5,17.0,7,11
10,239 boitsfort 5,1,2,1,0.5,1.5,0.5,2.5,1,1,xx,2.5,2.5,16.0,7,11
11,228 dworp 3,0,0.5,1,2,0.5,1,2,1.5,3.5,1.5,xx,3,16.5,6,11
12,233 dzd halle 1,0,1,1,1.5,0.5,1.5,1,1,2.5,1.5,1,xx,12.5,2,11
