r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,226 Europchess 4,XX,3,2.5,2.5,4,2,4,4,3.5,4,3.5,3,36,21,11
2,278 Pantin 5,1,XX,1.5,2,3,2.5,2,3,3,4,4,4,30,16,11
3,207 Les Deux Fous du Diogène 2,1.5,2.5,XX,2,2,2,4,2,3,3,3,4,29,16,11
4,201 CRE Bruxelles 3,1.5,2,2,XX,4,2.5,2.5,2,2,1.5,2.5,4,26.5,14,11
5,230 Leuven Centraal 5,0,1,2,0,XX,3,0,4,3,3,4,3.5,23.5,13,11
6,952 Wavre 4,2,1.5,2,1.5,1,XX,2,3,0,4,4,3.5,24.5,11,11
7,229 Woluwe 2,0,2,0,1.5,4,2,XX,2,4,0,4,2.5,22,11,11
8,961 Braine l’Alleud 2,0,1,2,2,0,1,2,XX,3,2.5,2.5,2,18,10,11
9,114 K Mechelse SK 6,0.5,1,1,2,1,4,0,1,XX,3,3,3.5,20,9,11
10,244 Brussels CC 4,0,0,1,2.5,1,0,4,1.5,1,XX,2.5,2,15.5,7,11
11,228 Dworp 2,0.5,0,1,1.5,0,0,0,1.5,1,1.5,XX,4,11,2,11
12,239 Boitsfort 5,1,0,0,0,0.5,0.5,1.5,2,0.5,2,0,XX,8,2,11
