r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,228 Dworp 3,XX,2.5,2,3,2.5,4,2,3,2.5,2.5,3.5,3.5,31,20,11
2,278 Pantin 6,1.5,XX,2,4,1.5,3.5,3,2.5,3.5,4,4,2.5,32,17,11
3,166 TS Mechelen 3,2,2,XX,3,3,1,0,4,2.5,3.5,0,2.5,23.5,14,11
4,226 Europchess 5,1,0,1,XX,1,2,2.5,0,3.5,4,4,4,23,11,11
5,952 Wavre 5,1.5,2.5,1,3,XX,0,2,1,4,2.5,1.5,3.5,22.5,11,11
6,204 Excelsior 1,0,0.5,3,2,4,XX,1.5,0,2.5,1.5,4,2.5,21.5,11,11
,233 DZD Halle 1,2,1,4,1.5,2,2.5,XX,0.5,2,1,2.5,2.5,21.5,11,11
8,114 K Mechelse SK 7,1,1.5,0,4,3,4,3.5,XX,1,2,2,0,22,10,11
9,260 Kapelle o/d Bos 2,1.5,0.5,1.5,0.5,0,1.5,2,3,XX,2.5,3.5,4,20.5,9,11
10,207 Les Deux Fous du Diogène 3,1.5,0,0.5,0,1.5,2.5,3,2,1.5,XX,2,3,17.5,8,11
11,244 Brussels CC 5,0.5,0,4,0,2.5,0,1.5,2,0.5,2,XX,1,14,6,11
12,401 K Gentse SRL 13,0.5,1.5,1.5,0,0.5,1.5,1.5,4,0,1,3,XX,15,4,11
