r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp,#
1,228 Dworp 4,XX,1.5,3,2,3,3,3,3.5,3,4,4,30,17,10
2,244 Brussels CC 6,2.5,XX,1.5,3,0.5,3.5,3.5,3.5,4,3.5,4,29.5,16,10
3,114 K Mechelse SK 9,1,2.5,XX,1,2.5,3.5,2.5,3.5,2.5,3,4,26,16,10
4,953 Nivelles 1,2,1,3,XX,1.5,3.5,4,4,2.5,2.5,4,28,15,10
5,233 DZD Halle 2,1,3.5,1.5,2.5,XX,2.5,4,2,2.5,2,4,25.5,14,10
6,278 Pantin 7,1,0.5,0.5,0.5,1.5,XX,3,4,4,3,3,21,10,10
7,551 Jurbise 2,1,0.5,1.5,0,0,1,XX,1.5,2.5,2.5,4,14.5,6,10
8,548 Caïssa Europe Mons 4,0.5,0.5,0.5,0,2,0,2.5,XX,1.5,4,2,13.5,6,10
9,952 Wavre 6,1,0,1.5,1.5,1.5,0,1.5,2.5,XX,3,2,14.5,5,10
10,901 Namur 7,0,0.5,1,1.5,2,1,1.5,0,1,XX,2.5,11,3,10
11,525 Anderlues 3,0,0,0,0,0,1,0,2,2,1.5,XX,6.5,2,10
