nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,511 Echiquier du Centre 1,XX,2.5,3,2.5,2,2,1.5,3.5,3,2.5,3.5,4,30,18
2,961 Braine Echecs 1,1.5,XX,2,3,1,3,2.5,3,4,4,2,2.5,28.5,16
3,902 CE Sambrevillois 1,1,2,XX,1.5,2.5,2,2.5,2.5,4,3,2,3.5,26.5,15
4,601 CRE Liège EL 3,1.5,1,2.5,XX,1.5,2,4,1,4,2.5,3,4,27,13
5,525 CELB Anderlues 1,2,3,1.5,2.5,XX,2,1.5,4,2,2.5,2,2,25,13
6,551 HCC Jurbise 1,2,1,2,2,2,XX,2.5,1,2,2.5,3.5,4,24.5,13
7,548 Caïssa Europe Mons 2,2.5,1.5,1.5,0,2.5,1.5,XX,2,2.5,0.5,2.5,2.5,19.5,11
8,901 Namur 3,0.5,1,1.5,3,0,3,2,XX,2,0.5,2,4,19.5,9
9,278 Pantin 2,1,0,0,0,2,2,1.5,2,XX,3.5,2.5,3.5,18,9
10,952 Wavre 2,1.5,0,1,1.5,1.5,1.5,3.5,3.5,0.5,XX,3,2,19.5,7
11,228 Dworp 2,0.5,2,2,1,2,0.5,1.5,2,1.5,1,XX,2,16,5
12,514 Montigny-Fontaine 2,0,1.5,0.5,0,2,0,1.5,0,0.5,2,2,XX,10,3
