nummer,naam,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,233 DZD Halle 2,XX,2.5,3,2.5,2,3,2.5,3,4,3,2.5,28,19
2,525 CELB Anderlues 3,1.5,XX,3,4,3.5,2,3,3,3.5,4,4,31.5,17
3,207 Les Deux Fous du Diogène 3,1,1,XX,3,3.5,3,2,3.5,3,3,3,26,15
4,501 CRE Charleroi 4,1.5,0,1,XX,2,2,3.5,2.5,2,4,3,21.5,11
5,961 Braine Echecs 3,2,0.5,0.5,2,XX,3,2,3.5,2,2.5,2,20,11
6,551 HCC Jurbise 3,1,2,1,2,1,XX,0,2.5,4,3.5,3,20,10
7,228 Dworp 4,1.5,1,2,0.5,2,4,XX,1.5,2.5,2,4,21,9
8,902 CE Sambrevillois 3,1,1,0.5,1.5,0.5,1.5,2.5,XX,3,1.5,2.5,15.5,6
9,514 Montigny-Fontaine 4,0,0.5,1,2,2,0,1.5,1,XX,2,4,14,5
10,549 Saint-Ghislain 2,1,0,1,0,1.5,0.5,2,2.5,2,XX,2,12.5,5
11,952 Wavre 6,1.5,0,1,1,2,1,0,1.5,0,2,XX,10,2
