nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,548 Caïssa Europe Mons 2,XX,3,3.5,4,2.5,3,2,3,2.5,1.5,3.5,2.5,31,19
2,525 Anderlues 2,1,XX,3.5,2.5,1,3,2.5,2.5,3,3.5,4,3,29.5,18
3,902 CE Sambrevillois 1,0.5,0.5,XX,1.5,2.5,2,3.5,3.5,4,3,2.5,4,27.5,15
4,278 Pantin 4,0,1.5,2.5,XX,3.5,2,3.5,2.5,2,2,3,2,24.5,14
5,501 CRE Charleroi 2,1.5,3,1.5,0.5,XX,3.5,2.5,2.5,1,3.5,3.5,2,25,13
6,547 Binche 1,1,1,2,2,0.5,XX,2,2.5,4,1.5,2.5,3,22,11
7,228 Dworp 2,2,1.5,0.5,0.5,1.5,2,XX,2,2,2,3.5,2.5,20,9
8,233 DZD Halle 1,1,1.5,0.5,1.5,1.5,1.5,2,XX,2,3,3,3.5,21,8
9,207 Les Deux Fous du Diogène 3,1.5,1,0,2,3,0,2,2,XX,1,2,3,17.5,8
10,551 HCC Jurbise 1,2.5,0.5,1,2,0.5,2.5,2,1,3,XX,1,0.5,16.5,8
11,909 Philippeville 2,0.5,0,1.5,1,0.5,1.5,0.5,1,2,3,XX,4,15.5,5
12,541 Leuze-en-Hainaut 3,1.5,1,0,2,2,1,1.5,0.5,1,3.5,0,XX,14,4
