nummer,naam,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,952 Wavre 5,XX,1,3,3.5,3,2,3,3,2.5,3.5,3.5,28,17
2,548 Caïssa Europe Mons 4,3,XX,1,3.5,3,3.5,3.5,1.5,4,3,4,30,16
3,514 Monti' CC 4,1,3,XX,3,3,2.5,3,3,2,2,4,26.5,16
4,230 Leuven Centraal 10,0.5,0.5,1,XX,2,4,2.5,0,3,2.5,3.5,19.5,11
5,518 Soignies 1,1,1,1,2,XX,2,2,4,2,2.5,2,19.5,9
6,901 Namur 7,2,0.5,1.5,0,2,XX,0,0.5,2.5,3,3,15,8
7,501 CRE Charleroi 5,1,0.5,1,1.5,2,4,XX,3,2,1.5,2,18.5,7
8,228 Dworp 3,1,2.5,1,4,0,3.5,1,XX,2,1.5,1.5,18,7
9,551 HCC Jurbise 3,1.5,0,2,1,2,1.5,2,2,XX,2,3,17,7
10,902 CE Sambrevillois 3,0.5,1,2,1.5,1.5,1,2.5,2.5,2,XX,2,16.5,7
11,549 Saint-Ghislain 2,0.5,0,0,0.5,2,1,2,2.5,1,2,XX,11.5,5
