nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,201 CRE Bruxelles 1,XX,3,5.5,3.5,5.5,4,4.5,4,5,3,3.5,5,46.5,20
2,401 K Gentse SRL 5,3,XX,1,4.5,2.5,4.5,4.5,5.5,4,5,4,5,43.5,17
3,207 Les Deux Fous du Diogène 1,0.5,5,XX,3,4.5,4,2.5,4,3.5,4,5,5,41,17
4,417 Aalst 1,2.5,1.5,3,XX,6,3,4,2.5,5.5,3,4.5,3.5,39,13
5,226 Europchess 2,0.5,3.5,1.5,0,XX,3.5,4.5,3.5,1,3,3,3.5,27.5,12
6,239 Boitsfort 2,2,1.5,2,3,2.5,XX,3.5,3.5,3,2.5,3.5,3.5,30.5,10
7,244 Brussels CC 1,1.5,1.5,3.5,2,1.5,2.5,XX,2,3.5,5,4,3.5,30.5,10
8,278 Pantin 2,2,0.5,2,3.5,2.5,2.5,4,XX,3.5,4.5,2,2.5,29.5,8
9,228 Dworp 1,1,2,2.5,0.5,5,3,2.5,2.5,XX,3.5,3,3.5,29,8
10,548 Caïssa Europe Mons 2,3,1,2,3,3,3.5,1,1.5,2.5,XX,4.5,1.5,26.5,7
11,511 Echiquier du Centre 1,2.5,2,1,1.5,3,2.5,2,4,3,1.5,XX,4.5,27.5,6
12,418 Geraardsbergen 1,1,1,1,2.5,2.5,2.5,2.5,3.5,2.5,4.5,1.5,XX,25,4
