nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,601 CRE Liège EL 6,XX,3,2,2,3.5,2,2,2,3.5,3.5,3,,26.5,15
2,525 Anderlues 1,1,XX,3,1.5,2,2.5,2.5,4,2,3,3.5,,25,14
3,902 CE Sambrevillois 1,2,1,XX,3.5,2,2,2,3,3,2.5,3.5,,24.5,14
4,909 Philippeville 1,2,2.5,0.5,XX,3,3,3,0,2,2.5,2.5,,21,14
5,952 Wavre 2,0.5,2,2,1,XX,3,2,3,1.5,2.5,2.5,,20,11
6,230 Leuven Centraal 3,2,1.5,2,1,1,XX,1.5,3,4,2,2,,20,8
7,551 HCC Jurbise 1,2,1.5,2,1,2,2.5,XX,2,1.5,1.5,4,,20,8
8,547 Binche 1,2,0,1,4,1,1,2,XX,2.5,0.5,2.5,,16.5,8
9,501 CRE Charleroi 2,0.5,2,1,2,2.5,0,2.5,1.5,XX,1,2.5,,15.5,8
10,901 Namur 3,0.5,1,1.5,1.5,1.5,2,2.5,3.5,3,XX,0.5,,17.5,7
11,228 Dworp 2,1,0.5,0.5,1.5,1.5,2,0,1.5,1.5,3.5,XX,,13.5,3
12,607 Rochade Eupen 6,,,,,,,,,,,,XX,0,0
