nummer,naam,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,233 DZD Halle 2,XX,3.5,2.5,2,2,2,3.5,3.5,3,4,4,30,17
2,961 Braine Echecs 3,0.5,XX,2,2,2.5,3.5,4,2.5,2.5,3,3,25.5,16
3,548 Caïssa Europe Mons 4,1.5,2,XX,2.5,3.5,3,1.5,2.5,3.5,3.5,4,27.5,15
4,244 Brussels CC 5,2,2,1.5,XX,2,2.5,4,2,4,4,3,27,14
5,401 K Gentse SRL 14,2,1.5,0.5,2,XX,1,3,2.5,2,3,3,20.5,11
6,228 Dworp 3,2,0.5,1,1.5,3,XX,2,3.5,0.5,2.5,3.5,20,10
7,278 Pantin 7,0.5,0,2.5,0,1,2,XX,2,3,2,2,15,8
8,541 Leuze 2,0.5,1.5,1.5,2,1.5,0.5,2,XX,2,2.5,2,16,6
9,514 Monti' CC 3,1,1.5,0.5,0,2,2.5,1,2,XX,1,3,14.5,6
10,201 CRE Bruxelles 4,0,1,0.5,0,1,1.5,2,1.5,3,XX,2,12.5,4
11,207 Les Deux Fous du Diogène 5,0,1,0,1,1,0.5,2,2,1,2,XX,10.5,3
