nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,207 Les Deux Fous du Diogène 1,XX,3,4.5,3,4.5,3.5,4.5,4,4.5,6,3.5,4,45,20
2,601 CRE Liège EL 2,3,XX,3.5,3.5,3.5,6,0.5,4,5.5,3.5,3,4,40,18
3,244 Brussels CC 2,1.5,2.5,XX,3,3,4,4,4,1,5,5,5,38,14
4,239 Boitsfort 2,3,2.5,3,XX,4,2,5,4.5,3,2,4,5,38,13
5,278 Ixelles CC 2,1.5,2.5,3,2,XX,5,4,3,4.5,5.5,3.5,2.5,37,12
6,228 Dworp 1,2.5,0,2,4,1,XX,3.5,3.5,3.5,3,4.5,3,30.5,12
7,226 Europchess 2,1.5,5.5,2,1,2,2.5,XX,4,1.5,4,4,3,31,9
8,209 The Belgian CC Anderlecht 2,2,2,2,1.5,3,2.5,2,XX,4,4.5,3.5,3.5,30.5,9
9,114 K Mechelse SK 2,1.5,0.5,5,3,1.5,2.5,4.5,2,XX,5.5,0.5,3.5,30,9
10,621 TAL 2,0,2.5,1,4,0.5,3,2,1.5,0.5,XX,3.5,4.5,23,7
11,135 Geel 2,2.5,3,1,2,2.5,1.5,2,2.5,5.5,2.5,XX,6,31,5
12,401 K Gentse SRL 6,2,2,1,1,3.5,3,3,2.5,2.5,1.5,0,XX,22,4
