nummer,naam,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,228 Dworp 3,XX,0,4,2.5,2,3,3.5,2.5,2.5,3,3.5,3,29.5,19
2,961 Braine Echecs 3,4,XX,2,2.5,2,2,3,1,2,4,3.5,3.5,29.5,16
3,209 The Belgian CC Anderlecht 3,0,2,XX,2,3.5,1.5,2.5,3,3.5,3.5,3,3.5,28,16
4,278 Ixelles CC 8,1.5,1.5,2,XX,2.5,2.5,2,4,2,3,2.5,3,26.5,15
5,261 Opwijk 6,2,2,0.5,1.5,XX,3,4,2.5,1,4,4,3,27.5,14
6,201 CRE Bruxelles 3,1,2,2.5,1.5,1,XX,1.5,1.5,4,3.5,3,2.5,24,11
7,207 Les Deux Fous du Diogène 5,0.5,1,1.5,2,0,2.5,XX,2,3.5,2,2.5,3,20.5,11
8,226 Europchess 4,1.5,3,1,0,1.5,2.5,2,XX,2,1,2,3.5,20,9
9,239 Boitsfort 4,1.5,2,0.5,2,3,0,0.5,2,XX,1.5,2,3,18,8
10,417 Aalst 3,1,0,0.5,1,0,0.5,2,3,2.5,XX,2,1,13.5,6
11,230 Leuven Centraal 13,0.5,0.5,1,1.5,0,1,1.5,2,2,2,XX,2,14,4
12,231 Dolle Toren Leuven 5,1,0.5,0.5,1,1,1.5,1,0.5,1,3,2,XX,13,3
