r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,228 Dworp 1,XX,9,10,7,12,12,10,10,10,10,10,100,28
2,707 Tessenderlo 1,7,XX,9,10,6,12,10,12,8,11,10,95,25
3,144 Wilrijk 1,6,7,XX,6,12,7,9,10,12,10,11,90,22
4,243 Zaventem 1,9,0,10,XX,10,11,12,6,9,12,10,89,25
5,132 Oude God Mortsel 3,4,10,4,6,XX,10,10,11,6,9,8,78,21
6,243 LV Leuven 2,4,4,9,5,6,XX,7,9,9,10,12,75,20
7,124 Deurne 3,6,6,7,4,6,9,XX,6,10,11,10,75,18
8,108 Merksem 2,6,4,6,10,5,7,10,XX,4,10,10,72,18
9,240 Machelen 1,6,8,3,7,10,3,0,12,XX,10,10,69,18
10,244 Thibaut 3,6,5,0,3,7,0,5,0,6,XX,10,42,9
11,410 Sint-Niklaas 2,6,0,5,0,8,4,0,0,6,0,XX,29,6
