r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,101 K Antwerpse SK 1,XX,10,8,11,9,11,11,12,10,10,92,26
2,401 K Gentse SRL 5,6,XX,9,7,10,10,10,10,7,12,81,21
3,311 Brugse SF 2,8,7,XX,7,9,8,10,8,12,12,81,20
4,228 Dworp 1,5,9,9,XX,9,9,7,6,12,11,77,21
5,132 Oude God Mortsel 2,7,6,7,7,XX,7,10,8,9,12,73,16
6,152 Paroza Berchem 1,5,6,8,7,9,XX,8,10,12,7,72,17
7,240 Machelen,5,6,6,9,6,8,XX,10,10,9,69,18
8,417 Aalst 2,4,6,8,10,8,6,6,XX,9,11,68,17
9,442 Mariakerke 2,6,9,4,4,7,4,6,7,XX,8,55,12
10,249 Ruisbroek,6,4,4,5,0,9,7,5,8,XX,48,11
