r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,143 Temse,XX,12,10,11,9,9,11,10,8,9,89,26
2,425 Dendermonde 3,4,XX,12,5,11,12,7,9,10,12,82,21
3,425 Dendermonde 2,6,4,XX,6,12,11,10,10,10,12,81,21
4,228 Dworp 2,5,11,10,XX,9,10,9,7,10,8,79,22
5,209 SK Anderlecht 5,7,5,4,7,XX,7,7,10,10,12,69,15
6,436 Lokeren 2,7,4,5,6,9,XX,9,12,8,6,66,16
7,209 SK Anderlecht 4,5,9,6,7,9,7,XX,6,9,8,66,16
8,410 Sint-Niklaas,6,7,6,9,6,0,10,XX,8,12,64,15
9,417 Aalst 3,8,6,6,6,6,8,7,8,XX,9,64,14
10,432 Wetteren 2,7,4,4,8,0,10,8,4,7,XX,52,12
