R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,La Venerie,XX,3,4.5,3,4.5,4,3,4.5,5,4.5,36.0,15
2,Wavre,3,XX,2,3.5,4,4.5,5,5,3.5,5.5,36.0,15
3,CRE Charleroi,1.5,4,XX,4,4,5.5,4.5,1.5,4.5,4,33.5,14
4,CRE Bruxelles 2,3,2.5,2,XX,3,5,4,4.5,4,3.5,31.5,12
5,Soignies,1.5,2,2,3,XX,1.5,3.5,4.5,5,4,27.0,9
6,Aalst,2,1.5,0.5,1,4.5,XX,3.5,5,3.5,3.5,25.0,10
7,Dworp 1,3,1,1.5,2,2.5,2.5,XX,3,4.5,3.5,23.5,6
8,Roque 6,1.5,1,4.5,1.5,1.5,1,3,XX,3.5,4,21.5,7
9,Geraardsbergen 2,1,2.5,1.5,2,1,2.5,1.5,2.5,XX,3.5,18.0,2
10,Woluwe,1.5,0.5,2,2.5,2,2.5,2.5,2,2.5,XX,18.0,0
