R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Beveren,XX,1,3,3,2,3,3,4,3.5,4,26.5,15
2,Lokeren,3,XX,1,3,0.5,4,2.5,4,2,3.5,23.5,13
3,Anderlecht 4,1,3,XX,2,4,2,2.5,3,2,1.5,21.0,11
4,Mariakerke,1,1,2,XX,0.5,2,4,2,4,3.5,20.0,9
5,Jean Jaurès Gent 3,2,3.5,0,3.5,XX,2.5,1.5,1.5,2.5,3,20.0,11
6,Aalst 2,1,0,2,2,1.5,XX,2.5,2.5,2,2.5,16.0,9
7,Roque Anderlecht 6,1,1.5,1.5,0,2.5,1.5,XX,1,2.5,4,15.5,6
8,Sint-Niklaas,0,0,1,2,2.5,1.5,3,XX,2.5,2,14.5,8
9,Dendermonde 2,0.5,2,2,0,1.5,2,1.5,1.5,XX,2,13.0,4
10,Dworp 2,0,0.5,2.5,0.5,1,1.5,0,2,2,XX,10.0,4
