r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,216 Lasne-Waterloo 1,XX,2,4,4.5,5,4,3.5,4.5,4.5,4,36,16
2,223 Wavre 1,4,XX,2,1.5,3,5.5,3,3.5,3.5,5,31,12
3,501 CRE Charleroi 1,2,4,XX,3,4.5,2.5,3,2.5,4,5,30.5,10
4,228 Dworp 1,1.5,4.5,3,XX,3,2.5,3.5,3,4.5,3.5,29,11
5,209 SK Anderlecht 3,1,3,1.5,3,XX,2.5,3,5,5.5,4.5,29,9
6,418 Geraardsbergen 1,2,0.5,3.5,3.5,3.5,XX,3.5,3.5,3.5,5,28.5,14
7,229 Woluwe 1,2.5,3,3,2.5,3,2.5,XX,4,2,4,26.5,7
8,518 Soignies 1,1.5,2.5,3.5,3,1,2.5,2,XX,4,4,24,7
9,505 Carnières,1.5,2.5,2,1.5,0.5,2.5,4,2,XX,3,19.5,3
10,515 Nivelles 1,2,1,1,2.5,1.5,1,2,2,3,XX,16,1
