r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,266 Desperado Leuven,XX,2,1.5,2,3.5,3,2.5,3,4,4,25.5,14
2,278 Pantin 3,2,XX,2.5,2,3,2,2,4,3,4,24.5,14
3,272 Tibéchecs,2.5,1.5,XX,2.5,2,1,3,3.5,4,4,24,13
4,954 Rixensart,2,2,1.5,XX,1,2,4,4,3,3.5,23,11
5,249 Ruisbroek 2,0.5,1,2,3,XX,2.5,2,2.5,3,4,20.5,12
6,243 LV Leuven 4,1,2,3,2,1.5,XX,1,2,3,4,19.5,9
7,228 Dworp 3,1.5,2,1,0,2,3,XX,2.5,2,4,18,9
8,956 El Botroul Ottignies,1,0,0.5,0,1.5,2,1.5,XX,4,1,11.5,3
9,955 Dion 2,0,1,0,1,1,1,2,0,XX,3.5,9.5,3
10,203 Fous du Roy 3,0,0,0,0.5,0,0,0,3,0.5,XX,4,2
