r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,245 Roque Anderlecht 4,XX,3,3,4,1.5,4,3,3.5,4,4,30,16
2,229 Woluwe 2,1,XX,3,1,4,3,2,4,3.5,4,25.5,13
3,272 Tibéchecs,1,1,XX,3,1.5,3,3,2,2.5,3,20,11
4,239 Boitsfort 4,0,3,1,XX,2,3,2.5,4,1,3.5,20,11
5,201 CRE Bruxelles 5,2.5,0,2.5,2,XX,1,2,2,1,4,17,9
6,209 SK Anderlecht 5,0,1,1,1,3,XX,1,2.5,3,4,16.5,8
7,228 Dworp 3,1,2,1,1.5,2,3,XX,1,2.5,1.5,15.5,6
8,518 Soignies 3,0.5,0,2,0,2,1.5,3,XX,3,2.5,14.5,8
9,244 Thibaut 3,0,0.5,1.5,3,3,1,1.5,1,XX,1.5,13,4
10,203 Fous du Roy 4,0,0,1,0.5,0,0,2.5,1.5,2.5,XX,8,4
