r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,244 Thibaut 2,XX,2.5,3,4,2.5,3.5,3,2.5,3,2.5,2.5,4,33,22
2,910 Ludisan 4,1.5,XX,4,2,3,3,2,3.5,3.5,2.5,3.5,4,32.5,18
3,228 Dworp 3,1,0,XX,2.5,3,3.5,3,3,2.5,3,3,4,28.5,18
4,501 CRE Charleroi 6,0,2,1.5,XX,3.5,3,3.5,2.5,2.5,2.5,3.5,4,28.5,17
5,204 Benéchecs,1.5,1,1,0.5,XX,1,2,3,3,3,3,3,22,11
6,245 Roque 6,0.5,1,0.5,1,3,XX,2.5,1.5,2,3,3,3,21,11
7,249 Ruisbroek,1,2,1,0.5,2,1.5,XX,3,2,2,2.5,3,20.5,10
8,501 CRE Charleroi 5,1.5,0.5,1,1.5,1,2.5,1,XX,2.5,3,3,2.5,20,10
9,289 Chant d'Oiseau,1,0.5,1.5,1.5,1,2,2,1.5,XX,3.5,1.5,3.5,19.5,6
10,518 Soignies 5,1.5,1.5,1,1.5,1,1,2,1,0.5,XX,2,3,16,4
11,229 Woluwe 2,1.5,0.5,1,0.5,1,1,1.5,1,2.5,2,XX,2,14.5,4
12,203 Fous du Roy 4,0,0,0,0,1,1,1,1.5,0.5,1,2,XX,8,1
