r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Benéchecs 1,XX,3,2,3.5,4,3.5,3.5,2.5,2.5,3.5,2.5,2.5,33,21
2,Ruisbroek,1,XX,1.5,2.5,2.5,3,3,3,3,3.5,4,4,31,18
3,Dworp 3,2,2.5,XX,2,2.5,3,2.5,3.5,2.5,4,3,3,30.5,20
4,Tibucle 3,0.5,1.5,2,XX,2.5,3,3.5,2,2.5,3,2.5,2,25,15
5,Humbeek 3,0,1.5,1.5,1.5,XX,2.5,1.5,3.5,4,2,3.5,3,24.5,11
6,Fous du Roy 3,0.5,1,1,1,1.5,XX,3,3,1.5,1.5,4,3,21,8
7,Opwijk 2,0.5,1,1.5,0.5,2.5,1,XX,3,2.5,2.5,2,3,20,11
8,Londerzeel,1.5,1,0.5,2,0.5,1,1,XX,3,2.5,4,3,20,9
9,Machelen 2,1.5,1,1.5,1.5,0,2.5,1.5,1,XX,2,3,2.5,18,7
10,Hoboken 9,0.5,0.5,0,1,2,2.5,1.5,1.5,2,XX,2.5,3,17,8
11,Woluwe 2,1.5,0,1,1.5,0.5,0,2,0,1,1.5,XX,3.5,12.5,3
12,Roque 5,1.5,0,1,2,1,1,1,1,1.5,1,0.5,XX,11.5,1
