r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,260 Humbeek 2,XX,1.5,3.5,2,2.5,4,4,1,4,2.5,4,4,33,8.5
2,228 Dworp 3,2.5,XX,2,2,2,2,4,4,4,2,3.5,3.5,31.5,8.5
3,303 K Brugse SK 3,0.5,2,XX,4,3,2,3,3.5,0,3.5,2.5,3,27,8
4,473 Pion Aalter,2,2,0,XX,1,3,3,2,3,4,3.5,3,26.5,7.5
5,475 Doorbraak Aalter,1.5,2,1,3,XX,2,2,3,2.5,2.5,3.5,3,26,7.5
6,464 Sint-Gillis-Waas 2,0,2,2,1,2,XX,2,1,3,2.5,3.5,3.5,22.5,6
7,472 Mercatel Sint-Amandsberg 3,0,0,1,1,2,2,XX,2.5,2.5,3,3,3,20,6
8,402 Jean Jaurès Gent 7,3,0,0.5,2,1,3,1.5,XX,1.5,2,2.5,3,20,5
9,130 Hoboken 11,0,0,4,1,1.5,1,1.5,2.5,XX,2.5,3,3,20,5
10,462 Zottegem 3,1.5,2,0.5,0,1.5,1.5,1,2,1.5,XX,1,2.5,15,2
11,401 K Gentse SRL 12,0,0.5,1.5,0.5,0.5,0.5,1,1.5,1,3,XX,2,12,1.5
12,186 Ons Schaakgenoegen Kempen 6,0,0.5,1,1,1,0.5,1,1,1,1.5,2,XX,10.5,0.5
