r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,239 Boitsfort 2,XX,3,3,2.5,2,2.5,3,2,2.5,3,2.5,2,28,9.5
2,272 Tibéchecs 1,1,XX,0.5,3.5,1.5,3.5,3.5,2.5,2.5,2.5,3,4,28,8
3,607 Rochade Eupen 4,1,3.5,XX,2,3.5,1,2.5,1,1.5,3.5,3,4,26.5,6.5
4,263 Aarschot 1,1.5,0.5,2,XX,2,2,1,1,3.5,4,4,4,25.5,5.5
5,244 Wol-Thib 3,2,2.5,0.5,2,XX,2.5,1.5,2.5,2,3.5,2,3,24,7
6,228 Dworp 2,1.5,0.5,3,2,1.5,XX,2,4,2.5,2,2.5,2.5,24,6.5
7,209 SK Anderlecht 4,1,0.5,1.5,3,2.5,2,XX,2,2,2.5,3,4,24,6.5
8,166 TSM Mechelen 3,2,1.5,3,3,1.5,0,2,XX,2,2,2.5,2.5,22,6
9,501 CRE Charleroi 3,1.5,1.5,2.5,0.5,2,1.5,2,2,XX,2,1.5,2,19,3.5
10,203 Fous du Roy 2,1,1.5,0.5,0,0.5,2,1.5,2,2,XX,3,3.5,17.5,3.5
11,204 Excelsior 1,1.5,1,1,0,2,1.5,1,1.5,2.5,1,XX,1.5,14.5,1.5
12,229 Woluwé 2,2,0,0,0,1,1.5,0,1.5,2,0.5,2.5,XX,11,2
