r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,228 Dworp 3,XX,3,4,2.5,1.5,2,4,2.5,4,4,4,31.5,8.5
2,290 Epicure 2,1,XX,2,3.5,3.5,3,3.5,3.5,3,3,4,30,8.5
3,260 Humbeek 3,0,2,XX,1.5,2.5,2,2.5,4,3.5,3,4,25,7
4,266 Desperado Leuven 5,1.5,0.5,2.5,XX,3,3,3,3,1.5,2.5,3,23.5,7
5,272 Tibéchecs 2,2.5,0.5,1.5,1,XX,2,2,4,3,3,3.5,23,6
6,278 Pantin 2,2,1,2,1,2,XX,1.5,2.5,2,2,2,18,4
7,203 Fous du Roy 3,0,0.5,1.5,1,2,2.5,XX,1,2.5,2,2.5,15.5,4
8,538 Fleurus 1,1.5,0.5,0,1,0,1.5,3,XX,3,2,2,14.5,3
9,239 Boitsfort 3,0,1,0.5,2.5,1,2,1.5,1,XX,2.5,2,14,3
10,209 SK Anderlecht 5,0,1,1,1.5,1,2,2,2,1.5,XX,1,13,1.5
11,244 Wol-Thib 5,0,0,0,1,0.5,2,1.5,2,2,3,XX,12,2.5
